Município ID,Município,Ano,Índice de Envelhecimento
4300034,Aceguá - RS,2010,56.68
4300034,Aceguá - RS,2022,98.63
4300059,Água Santa - RS,2010,62.38
4300059,Água Santa - RS,2022,109.57
4300109,Agudo - RS,2010,82.82
4300109,Agudo - RS,2022,143.30
4300208,Ajuricaba - RS,2010,97.30
4300208,Ajuricaba - RS,2022,166.05
4300307,Alecrim - RS,2010,127.00
4300307,Alecrim - RS,2022,233.61
4300406,Alegrete - RS,2010,72.41
4300406,Alegrete - RS,2022,126.32
4300455,Alegria - RS,2010,113.58
4300455,Alegria - RS,2022,198.01
4300471,Almirante Tamandaré do Sul - RS,2010,100.84
4300471,Almirante Tamandaré do Sul - RS,2022,158.46
4300505,Alpestre - RS,2010,82.81
4300505,Alpestre - RS,2022,175.84
4300554,Alto Alegre - RS,2010,108.13
4300554,Alto Alegre - RS,2022,190.46
4300570,Alto Feliz - RS,2010,115.91
4300570,Alto Feliz - RS,2022,163.56
4300604,Alvorada - RS,2010,34.22
4300604,Alvorada - RS,2022,72.23
4300638,Amaral Ferrador - RS,2010,53.75
4300638,Amaral Ferrador - RS,2022,116.17
4300646,Ametista do Sul - RS,2010,45.98
4300646,Ametista do Sul - RS,2022,95.08
4300661,André da Rocha - RS,2010,85.48
4300661,André da Rocha - RS,2022,150.26
4300703,Anta Gorda - RS,2010,125.53
4300703,Anta Gorda - RS,2022,196.33
4300802,Antônio Prado - RS,2010,93.54
4300802,Antônio Prado - RS,2022,170.45
4300851,Arambaré - RS,2010,90.36
4300851,Arambaré - RS,2022,190.66
4300877,Araricá - RS,2010,47.26
4300877,Araricá - RS,2022,67.37
4300901,Aratiba - RS,2010,123.25
4300901,Aratiba - RS,2022,215.71
4301008,Arroio do Meio - RS,2010,82.10
4301008,Arroio do Meio - RS,2022,118.73
4301057,Arroio do Sal - RS,2010,78.58
4301057,Arroio do Sal - RS,2022,162.65
4301073,Arroio do Padre - RS,2010,103.17
4301073,Arroio do Padre - RS,2022,170.91
